Product_Name,Brand,RAM,Offer,Ratings,Selling_Price,Total,Processor_Brand,Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
ASUS Celeron Dual Core 10th Gen ,ASUS,4 GB,35% ,2.3,23750,36990,Intel,Intel Celeron Dual Core Processor (10th Gen)
Lenovo E41 APU Dual Core A6 A6,Lenovo,4 GB,24% ,3.6,24500,32600,AMD,AMD APU Dual Core A6 Processor
Lenovo Lenovo V15 Celeron Dual Core ,Lenovo,4 GB,42% ,3.0,23390,41000,Intel,Intel Celeron Dual Core Processor
Lenovo V145,Lenovo,4 GB,20% ,4.0,23999,30190,AMD,AMD APU Dual Core A6 Processor
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
HP 247 G8 Athlon Dual Core AMD Athlon™ Silver 3050U ,HP,4 GB,20% ,3.5,23790,30099,AMD,AMD Athlon Dual Core Processor
HP 15s (2023) Ryzen 3 Dual Core 3250U ,HP,8 GB,12% ,4.1,34990,39995,AMD,AMD Ryzen 3 Dual Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
HP 15s (2023) Athlon Dual Core 3050U ,HP,8 GB,10% ,4.0,31490,35147,AMD,AMD Athlon Dual Core Processor
ASUS Vivobook 15 Core i3 11th Gen ,ASUS,8 GB,28% ,4.3,31990,44990,Intel,Intel Core i3 Processor (11th Gen)
DELL Inspiron Core i3 11th Gen ,DELL,8 GB,28% ,4.1,37890,52997,Intel,Intel Core i3 Processor (11th Gen)
Lenovo V15 Ryzen 5 Hexa Core 5500U ,Lenovo,8 GB,49% ,4.2,34990,69525,AMD,AMD Ryzen 5 Hexa Core Processor
Infinix ZEROBOOK 13 Intel Core i5 13th Gen ,Infinix,16 GB,22% ,4.3,61990,79990,Intel,Intel Core i5 Processor (13th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core 11th Gen ,Infinix,4 GB,6% ,4.1,27990,29999,Intel,Intel Celeron Quad Core Processor (11th Gen)
ASUS Vivobook 15 Core i3 11th Gen ,ASUS,8 GB,28% ,4.2,35990,49990,Intel,Intel Core i3 Processor (11th Gen)
HP Pavilion 15 (2023) Intel Core i3 12th Gen ,HP,8 GB,20% ,5.0,45990,58175,Intel,Intel Core i3 Processor (12th Gen)
Infinix ZEROBOOK 13 Intel Core i7 13th Gen ,Infinix,32 GB,35% ,4.2,76990,119990,Intel,Intel Core i7 Processor (13th Gen)
Infinix INBook X1 Core i3 10th Gen ,Infinix,8 GB,24% ,4.2,37999,49999,Intel,Intel Core i3 Processor (10th Gen)
APPLE 2020 Macbook Air M1 ,APPLE,8 GB,17% ,4.7,81990,99900,Apple,Apple M1 Processor
HP 15s Intel Core i3 12th Gen ,HP,8 GB,25% ,4.3,41990,56261,Intel,Intel Core i3 Processor (12th Gen)
ASUS TUF Gaming A15 with 90WHr Battery Ryzen 7 Octa Core 4800H ,ASUS,16 GB,29% ,4.4,71990,101990,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo Ideapad Gaming 3 AMD Ryzen 5 Hexa Core 5600H ,Lenovo,8 GB,31% ,4.4,49990,72990,AMD,AMD Ryzen 5 Hexa Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
CHUWI Core i3 10th Gen ,CHUWI,8 GB,50% ,4.4,24990,49990,Intel,Intel Core i3 Processor (10th Gen)
ASUS Vivobook 15 Core i5 12th Gen ,ASUS,8 GB,30% ,4.0,48990,70990,Intel,Intel Core i5 Processor (12th Gen)
ASUS Vivobook Go 15 Celeron Dual Core ,ASUS,8 GB,25% ,4.1,28990,38990,Intel,Intel Celeron Dual Core Processor
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
HP Intel Core i5 11th Gen ,HP,8 GB,6% ,4.3,52990,56903,Intel,Intel Core i5 Processor (11th Gen)
HP Ryzen 5 Hexa Core 5500U ,HP,8 GB,19% ,4.2,44999,55691,AMD,AMD Ryzen 5 Hexa Core Processor
HP Pavilion Intel Core i5 12th Gen ,HP,16 GB,14% ,4.3,65990,77142,Intel,Intel Core i5 Processor (12th Gen)
HP 15s Intel Core i3 11th Gen ,HP,8 GB,22% ,4.2,38379,49425,Intel,Intel Core i3 Processor (11th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
DELL Core i3 12th Gen ,DELL,8GB,34% ,4.1,41090,62481,Processor:,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores
SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 ,SAMSUNG,4 GB,37% ,4.0,29990,47990,Qualcomm,Qualcomm Snapdragon 7c Gen 2 Processor
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
HP Chromebook x360 Intel Celeron Dual Core ,HP,4 GB,28% ,4.1,22990,32295,Intel,Intel Celeron Dual Core Processor
MSI Core i3 11th Gen ,MSI,8 GB,33% ,4.3,34990,52990,Intel,Intel Core i3 Processor (11th Gen)
Acer Extensa (2023) Core i3 ,Acer,8 GB,31% ,4.2,30990,44999,Intel,Intel Core i3 Processor
MSI Bravo 15 Ryzen 7 Octa Core 5800H ,MSI,8 GB,20% ,4.4,55990,69990,AMD,AMD Ryzen 7 Octa Core Processor
HP Pavilion Ryzen 5 Hexa Core 5625U ,HP,8 GB,14% ,4.4,51990,61023,AMD,AMD Ryzen 5 Hexa Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
realme Book (Slim) Core i3 11th Gen ,realme,8 GB,32% ,4.4,36999,54999,Stylish,Stylish & Portable Thin and Light Laptop
ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U ,ASUS,8 GB,29% ,4.1,35990,50990,AMD,AMD Ryzen 3 Quad Core Processor
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
ASUS Vivobook AMD R5 5600H Ryzen 5 Hexa Core 10th Gen ,ASUS,16 GB,30% ,4.3,51899,74990,AMD,AMD Ryzen 5 Hexa Core Processor (10th Gen)
HP Ryzen 3 Quad Core 5300U ,HP,8 GB,21% ,4.2,36990,47147,AMD,AMD Ryzen 3 Quad Core Processor
HP 14s Intel Core i3 11th Gen ,HP,8 GB,20% ,4.3,39490,49557,Intel,Intel Core i3 Processor (11th Gen)
Lenovo IdeaPad 3 Core i3 11th Gen ,Lenovo,8 GB,41% ,4.2,34990,60090,Intel,Intel Core i3 Processor (11th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
ASUS TUF Gaming F15 with 90WHr Battery Intel H,ASUS,16 GB,37% ,4.4,96990,155990,Intel,Intel Core i7 Processor (12th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix ZEROBOOK 13 Intel Core i5 13th Gen ,Infinix,16 GB,22% ,4.2,61990,79990,Intel,Intel Core i5 Processor (13th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core 11th Gen ,Infinix,4 GB,6% ,4.1,27990,29999,Intel,Intel Celeron Quad Core Processor (11th Gen)
Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen ,Lenovo,8 GB,26% ,4.3,51990,70790,Intel,Intel Core i5 Processor (11th Gen)
DELL Inspiron Core i5 11th Gen ,DELL,16 GB,31% ,4.1,56490,83022,Intel,Intel Core i5 Processor (11th Gen)
HP 15s (2023) Intel Core i7 13th Gen ,HP,16 GB,15% ,5.0,76990,91141,Intel,Intel Core i7 Processor (13th Gen)
HP Core i3 11th Gen ,HP,8 GB,19% ,4.1,35490,44253,Intel,Intel Core i3 Processor (11th Gen)
Infinix ZEROBOOK 13 Intel Core i7 13th Gen ,Infinix,32 GB,35% ,4.2,76990,119990,Intel,Intel Core i7 Processor (13th Gen)
Infinix INBook X1 Core i3 10th Gen ,Infinix,8 GB,24% ,4.2,37999,49999,Intel,Intel Core i3 Processor (10th Gen)
ASUS Vivobook S 14 Flip (2022) Ryzen 5 Hexa Core 5600H ,ASUS,8 GB,21% ,4.2,54990,69990,AMD,AMD Ryzen 5 Hexa Core Processor
HP Ryzen 5 Hexa Core 5500U ,HP,8 GB,12% ,4.3,43490,49631,AMD,AMD Ryzen 5 Hexa Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U ,Lenovo,8 GB,35% ,4.3,43990,68490,AMD,AMD Ryzen 5 Hexa Core Processor
ASUS Vivobook 15 Core i3 11th Gen ,ASUS,16 GB,22% ,4.3,38990,49990,Intel,Intel Core i3 Processor (11th Gen)
HP Victus Ryzen 7 Octa Core 5800H ,HP,16 GB,18% ,4.3,77990,95554,AMD,AMD Ryzen 7 Octa Core Processor
Lenovo IdeaPad 3 Core i3 12th Gen ,Lenovo,8 GB,40% ,4.0,39990,67090,Intel,Intel Core i3 Processor (12th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
MSI Ryzen 5 Hexa Core 7530U ,MSI,16 GB,29% ,4.4,45990,64990,AMD,AMD Ryzen 5 Hexa Core Processor
Acer Aspire 7 Ryzen 5 Hexa Core AMD R5,Acer,8 GB,36% ,4.4,53999,84990,Free,Free upgrade to Windows 11 when available
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.1,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
HP Laptop Core i3 11th Gen ,HP,8 GB,20% ,4.3,38990,49025,Intel,Intel Core i3 Processor (11th Gen)
ASUS TUF Gaming A15 Ryzen 5 Hexa Core AMD R5,ASUS,8 GB,25% ,4.3,56990,75990,AMD,AMD Ryzen 5 Hexa Core Processor
HP 15s Intel Core i5 12th Gen ,HP,8 GB,22% ,4.3,54100,70248,Intel,Intel Core i5 Processor (12th Gen)
Acer Extensa (2023) Ryzen 5 Quad Core 7520U ,Acer,8 GB,25% ,4.4,37990,50999,Stylish,Stylish & Portable Thin and Light Laptop
Infinix ZEROBOOK 13 Intel Core i5 13th Gen ,Infinix,16 GB,22% ,4.3,61990,79990,Intel,Intel Core i5 Processor (13th Gen)
Infinix INBook X1 Neo Series Celeron Quad Core 11th Gen ,Infinix,4 GB,6% ,4.1,27990,29999,Intel,Intel Celeron Quad Core Processor (11th Gen)
DELL Core i5 12th Gen ,DELL,8GB,24% ,4.2,54490,72094,Processor:,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores
DELL Ryzen 3 Dual Core 3250U ,DELL,8 GB,33% ,3.7,35990,53774,AMD,AMD Ryzen 3 Dual Core Processor
Infinix ZEROBOOK 13 Intel Core i7 13th Gen ,Infinix,32 GB,35% ,4.2,76990,119990,Intel,Intel Core i7 Processor (13th Gen)
Infinix INBook X1 Core i3 10th Gen ,Infinix,8 GB,24% ,4.2,37999,49999,Intel,Intel Core i3 Processor (10th Gen)
HP Pavilion (2023) Intel Core i5 12th Gen ,HP,16 GB,14% ,4.4,68990,80314,Intel,Intel Core i5 Processor (12th Gen)
HP Victus Core i5 12th Gen ,HP,8 GB,15% ,4.2,62890,74829,Intel,Intel Core i5 Processor (12th Gen)
ASUS Vivobook 16 (2023) Core i3 13th Gen ,ASUS,8 GB,23% ,4.6,47990,62990,Intel,Intel Core i3 Processor (13th Gen)
HP 15s (2023) Intel Core i3 13th Gen ,HP,8 GB,30% ,4.0,47990,69083,Intel,Intel Core i3 Processor (13th Gen)
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
CHUWI Core i3 10th Gen ,CHUWI,8 GB,50% ,4.4,24990,49990,Intel,Intel Core i3 Processor (10th Gen)
"ASUS Vivobook Pro 15 For Creator, Ryzen 5 Hexa Core 5600H ",ASUS,16 GB,12% ,4.8,68990,78990,AMD,AMD Ryzen 5 Hexa Core Processor
HP Pavilion (2023) Eyesafe Ryzen 5 Hexa Core 5625U ,HP,16 GB,17% ,4.4,59590,72537,AMD,AMD Ryzen 5 Hexa Core Processor
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Lenovo IdeaPad 3 Intel Core i5 12th Gen ,Lenovo,16 GB,39% ,4.2,58990,97490,Intel,Intel Core i5 Processor (12th Gen)
HP 15s (2023) Intel Core i5 13th Gen ,HP,8 GB,12% ,4.7,68990,78477,Intel,Intel Core i5 Processor (13th Gen)
ASUS TUF Gaming A15 (2022) Ryzen 7 Octa Core 6800HS ,ASUS,16 GB,43% ,4.4,84990,149990,AMD,AMD Ryzen 7 Octa Core Processor
MSI Core i7 11th Gen ,MSI,16 GB,18% ,4.3,72990,89990,Intel,Intel Core i7 Processor (11th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
MSI Core i5 11th Gen ,MSI,16 GB,22% ,4.3,54990,70990,Intel,Intel Core i5 Processor (11th Gen)
DELL Inspiron Ryzen 3 Dual Core 3250U ,DELL,8 GB,27% ,4.2,34790,47695,AMD,AMD Ryzen 3 Dual Core Processor
Infinix INBook X1 Core i5 10th Gen ,Infinix,8 GB,28% ,4.1,43199,59999,Intel,Intel Core i5 Processor (10th Gen)
Infinix X1 Slim Series Core i3 10th Gen ,Infinix,8 GB,28% ,4.3,35990,49999,Intel,Intel Core i3 Processor (10th Gen)
ASUS Vivobook 14 (2022) Core i5 12th Gen ,ASUS,8 GB,26% ,4.4,51990,70990,Intel,Intel Core i5 Processor (12th Gen)
ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U ,ASUS,8 GB,30% ,4.4,42990,61990,AMD,AMD Ryzen 3 Quad Core Processor
ASUS Vivobook 14 (2021) Core i5 11th Gen ,ASUS,16 GB,19% ,4.2,50990,62990,Intel,Intel Core i5 Processor (11th Gen)
ASUS Vivobook Go 14 (2023) Intel ,ASUS,8 GB,23% ,3.7,38990,50990,Intel,Intel Core i3 Processor
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
Infinix INBook X1 Neo Series Celeron Quad Core 11th Gen ,Infinix,4 GB,6% ,4.1,27990,29999,Intel,Intel Celeron Quad Core Processor (11th Gen)
HP Victus Gaming Ryzen 5 Hexa Core 5600H ,HP,16 GB,17% ,4.3,64990,78858,AMD,AMD Ryzen 5 Hexa Core Processor
HP Ryzen 3 Quad Core 7320U ,HP,8 GB,16% ,4.0,39490,47207,AMD,AMD Ryzen 3 Quad Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
ASUS Touchscreen Core i3 12th Gen ,ASUS,8 GB,25% ,4.3,46990,62990,Intel,Intel Core i3 Processor (12th Gen)
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen ,ASUS,8 GB,30% ,4.5,43990,62990,Intel,Intel Core i3 Processor (11th Gen)
ASUS Vivobook Go 15 Celeron Dual Core ,ASUS,8 GB,29% ,4.0,25990,36990,Intel,Intel Celeron Dual Core Processor
HP (2023) Intel 12th Gen N305 Core i3 ,HP,8 GB,17% ,4.2,41990,51134,Intel,Intel Core i3 Processor
CHUWI Core i3 10th Gen ,CHUWI,8 GB,50% ,4.4,24990,49990,Intel,Intel Core i3 Processor (10th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,44% ,4.1,13990,24990,MediaTek,MediaTek MediaTek MT8788 Processor
Acer Predator Helios 300 Core i7 11th Gen ,Acer,16 GB,36% ,4.5,95990,149999,Intel,Intel Core i7 Processor (11th Gen)
Acer One Core i3 11th Gen ,Acer,8 GB,28% ,4.1,29990,41999,Intel,Intel Core i3 Processor (11th Gen)
Infinix ZERO BOOK ULTRA Series Laptop Intel Core i9 12th Gen ,Infinix,32 GB,36% ,4.3,94990,149990,Intel,Intel Core i9 Processor (12th Gen)
Infinix INBook Y1 Plus Intel Core i3 10th Gen ,Infinix,8 GB,37% ,4.2,27990,44990,Intel,Intel Core i3 Processor (10th Gen)
Acer Extensa (2023) Ryzen 5 Quad Core 7520U ,Acer,8 GB,28% ,4.0,36990,51999,Stylish,Stylish & Portable Thin and Light Laptop
ASUS Vivobook Go 14 (2023) Ryzen 3 Quad Core 7320U ,ASUS,8 GB,28% ,4.2,35990,50450,AMD,AMD Ryzen 3 Quad Core Processor
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen ,Lenovo,8 GB,28% ,4.2,54990,76890,Intel,Intel Core i5 Processor (12th Gen)
ASUS Vivobook Go 15 OLED (2023) Ryzen 5 Quad Core 7520U ,ASUS,8 GB,29% ,4.4,52990,74990,AMD,AMD Ryzen 5 Quad Core Processor
Infinix Y1 Plus Neo (2023) Celeron Quad Core 11th Gen ,Infinix,4 GB,30% ,4.2,20990,29990,Intel,Intel Celeron Quad Core Processor (11th Gen)
Primebook 4G Android Based MediaTek MT8788 ,Primebook,4 GB,46% ,4.0,14990,27990,MediaTek,MediaTek MediaTek MT8788 Processor
